,CLIENT_ID,RETRO_DT,tokens,DEF,urls_hashed
819,5612114,20200529,,0,df60016b4eab44e114e30847ce3d5583 1
1059,6266954,20201225,денег 1 секс 1 кончил 1 массаж 1 вместе 1 лоли 1 мачеха 2 шикарная 1 girl 1 жена 1 порно 2 скачет 1 lola 1 хотели 1 хотела 1 парень 1 знает 1 luxury 1 подругу 1 трахает 1 хочет 1 девушку 1 porno 1 трахаться 1 настоящая 1 блондинка 1 pornhub 1 грудастая 1 видео 3 девочки 1 муж 1,0,
1097,227017252,20220208,мобильные 1 меню 1 группы 1 приложения 1,0,
1301,5204378,20200219,,1,
1818,812281681,20211022,,0,1192d043fa15f11a5f0412c8b978a4c2 10 83802fb86602a0fcc40436c0c50d0824 9 aee71c8d18d6b91b36bf599208a91777 10 c559cff1e7d1df756cb212a22311ea3b 10
1906,5103853,20200129,,0,
2070,6179869,20201201,хаус 1 дип 1 новинки 1 brother 1 music 1 музыки 1 видео 1,1,
2262,1017798701,20211215,игры 5 poker 1 club 1 битва 1 покер 1 танков 1 тяганина 1,0,
2332,5214810,20200222,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 1 b5b432017282583afaa297953fdabc09 1
2373,816683021,20220127,дмитрия 3 сообщества 3 мирного 3,0,
2860,1603396,20210706,,1,8cf0c68a7b804b4a3859b9f27e28f1c2 1 aee71c8d18d6b91b36bf599208a91777 1
2927,1470295,20210606,,0,db49e91499217a0935815bdf2251bc10 1
2998,5777360,20200729,,1,c9b0eed32bce901980b937571b52c15b 3 c9f124b819b7a2dbef3f0bcbf0330b9b 1
3576,1303959,20210419,street 1 малолетки 1 грудь 1 слив 1 голая 1 голые 1 соска 1 sex 1 трусики 1 live 1 periscope 1 видеозаписи 1 cam 1 видео 1 перископ 1 девушка 1 сиськи 1 public 1 школьницы 1,0,
4434,1013655701,20210918,,0,
4546,1778062,20210819,,0,c5d802e6e9482aeb70cfdb8c43a55f57 5 43ce2d9f00b72c7843a281e2e2b869f7 3 aee71c8d18d6b91b36bf599208a91777 5 c559cff1e7d1df756cb212a22311ea3b 5
4665,4990462,20200107,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 1 54030b4bf4e58c5a64540a0fc449a39f 1
4741,4997907,20200108,,0,
5400,5309834,20200314,,0,3f452275981699b592c1f83222f5c347 1 29592498d18e0d75ac590d591c3bd17f 1
6154,5532090,20200505,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 5
6233,5190871,20200216,,1,
6319,5864860,20200828,,0,
6381,1637824,20210715,пирогова 1 дениса 1 сообщества 1 пехота 1,0,
6425,5315985,20200316,фансаб 1 студия 10 озвучки 10 группа 1 мир 4 озвучка 4 видеозаписи 14 nasty 1 дорам 4,0,
7061,5988651,20201008,,0,8bc2e4d574051331733323ed0801e773 1
7081,6237045,20201216,,0,b49840bd7e731c0ad20d77c5a24cb6e4 5 34da209df2e77963112233239e110fdc 1 aee71c8d18d6b91b36bf599208a91777 8 b58d1eb5070747f7e7bf3733b97389bc 1 c559cff1e7d1df756cb212a22311ea3b 8
7234,223491222,20211204,чистополя 1 чистополь 1 очередь 1 происходит 1 поликлинике 1 типичный 1 прививки 1 видео 1 чистополе 1,0,
7488,816838551,20220130,вво 1 periscope 1 владимира 1 видеозаписи 1 видео 2,1,
7603,1021490271,20220218,справочник 2,0,
7874,5195141,20200217,видеочат 1 секс 1 office 1 porn 1 pov 1 aliexpress 1 интим 1 порно 2 porno 1 оргазм 1 видеозаписи 2 знают 1 lee 1 знакомства 2 вирт 1 государство 1 эротика 1 age 2 brazzers 1 фото 2 лишнего 1 видео 1 пошлое 1 частное 1 глаз 1,0,
8245,223425262,20211203,,0,d8877075c359034c6cb8b9ce2b1748a3 4 88ba7efdf1892f114177a6b7aef0baa9 1 22aacd8b24b187b272a77268147567bb 1 1192d043fa15f11a5f0412c8b978a4c2 9 83802fb86602a0fcc40436c0c50d0824 9 3c9735adfff393e630827fb013f5a993 9 aee71c8d18d6b91b36bf599208a91777 7 43ce2d9f00b72c7843a281e2e2b869f7 6 c559cff1e7d1df756cb212a22311ea3b 5
8544,811505941,20211003,комплекта 1 лыж 1 каталоге 1 купить 1 велосипедов 1 стерлитамак 1 прокат 1 эллада 1,0,
8573,6098405,20201108,игры 1,0,
8682,109972151,20210623,,0,aee71c8d18d6b91b36bf599208a91777 8 23bc07e9ad3d4267a888d143cf947805 6 941de11cf93f6b4e768994653818387c 2 7509a127f30f9317b22923f838658855 1 cf111080ffe916ec023b09344a33e3e6 1 9114ae77e77ebec660859b43116f5a2f 6
8897,1250148,20210407,,1,aee71c8d18d6b91b36bf599208a91777 2
9046,5358308,20200326,,0,
9781,1104415,20210303,,0,
10411,5604831,20200527,,0,
11133,109627981,20210616,дмитрия 1 кино 1 сообщества 1 мир 1 огаркова 1 сериалы 1 людей 1 жвачка 1 дружба 1,1,
11665,1402182,20210523,игры 1 мессенджер 1 целуй 1 знакомься 1,0,
12589,6166877,20201128,,0,d896212bb9159c1131bb96918c882d94 1
12684,812574921,20211029,,0,a5b859fb6438eb18e4241b8c3a11365a 1 aee71c8d18d6b91b36bf599208a91777 1
12754,6113272,20201112,,0,f7260fd86d7dadf65fec2ff576c254af 1 c559cff1e7d1df756cb212a22311ea3b 1
13018,5635314,20200606,,0,5d707a20067821ee07e3097404b9f117 1
13133,5060145,20200120,игры 1 клуб 1 бузулук 1 ночной 1 галерея 1 видеозаписи 1 порно 1,0,
13793,5439031,20200411,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 3
13917,5223309,20200224,,1,
14017,1283417,20210414,началом 2 березовая 1 связи 2 рыболовные 2 новости 2 украла 1 кошелек 1 сообщества 2 район 1 периода 2 войска 2 стене 2 фотографии 2 территории 2 димитровград 2 ребят 1 теме 1 собака 1 пенсионерка 1 пропала 1 пенсионерки 1 редактирование 2 видео 2,0,
14817,1019142411,20220109,одноклассники 4,0,
15416,1021842151,20220223,,0,938bf1091811d292f3fa46ab379110c6 1
16081,5294658,20200310,,1,8951e08d6449759212539acc85a3bea0 1 0028c3b68113a97ccf75351d44d647cd 1
16637,1147553,20210315,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 3c9735adfff393e630827fb013f5a993 1
16642,5414912,20200406,,0,
16960,810060381,20210828,меню 1 аксессуары 1,0,
17131,1206979,20210328,одноклассники 1,1,
17168,6134547,20201119,,0,7dbf954f71879e76b38c23e334a6aa21 1 aee71c8d18d6b91b36bf599208a91777 1
17529,1013388551,20210912,башни 1 монстров 1 золотое 1 survival 1 королевство 1 мертвых 1 земля 1,0,
17869,1010319401,20210630,петербургского 1 колпино 1 точно 1 сразу 1 насиловал 1 подслушано 1 новости 2 студента 1 часа 1,1,
18421,1013701441,20210920,игры 2 знакомься 1 poker 1 club 1 целуй 1 покер 1 отличий 1,0,
19799,5102585,20200129,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 2
19863,5683687,20200624,фотографий 1 фотографии 1 сообщества 1 стене 1,1,
20328,1014429501,20211005,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 4dd1b17f7962b78b562a9bc2c5758c65 2
20396,1832795,20210902,панчи 1 рифмы 1 видеозаписи 1,0,
20421,1019342032,20220112,одноклассники 1 чатов 3,0,
20467,6198247,20201205,,1,76cb22c97be56696e058ba6a733c3a71 1
20662,5072263,20200123,,1,f8e9e2c1c7df7ebb7eea72cff3cf9efc 1 ae964ea7904692e8264a2232061121a3 1
20911,1503309,20210614,выбор 1 победителя 1 розыгрыше 1,0,
21984,1560117,20210627,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1
22075,6029581,20201022,,1,082e06cf6fd1acffc598cfcbcf297be6 3 8746a235bc347559f63159c3bcd38b30 2
22323,5479967,20200422,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 2
22727,5267106,20200304,,0,8746a235bc347559f63159c3bcd38b30 3
22777,5124347,20200202,одноклассники 8,1,
22991,216696711,20210704,,1,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 9114ae77e77ebec660859b43116f5a2f 1
23881,815779261,20220110,,1,78769e78b47764dee76e1fb6c8d81002 95 d8877075c359034c6cb8b9ce2b1748a3 1 88ba7efdf1892f114177a6b7aef0baa9 5 aee71c8d18d6b91b36bf599208a91777 163 c5d802e6e9482aeb70cfdb8c43a55f57 1 1192d043fa15f11a5f0412c8b978a4c2 70 43116b7470678272712f788bcd7dcfe4 1 83802fb86602a0fcc40436c0c50d0824 54 3c9735adfff393e630827fb013f5a993 8 c14d7f49b3ef57fbe8717732115fcfed 66 43ce2d9f00b72c7843a281e2e2b869f7 26 c559cff1e7d1df756cb212a22311ea3b 73
24392,1395597,20210521,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 1 a28c682c92bd3dfdb663a789505b9949 1
24721,814049821,20211203,квоты 1 жалеет 1 стена 1 владимире 1 андрей 1 вход 1 подслушано 1 раздает 1,0,
24851,6075617,20201103,одноклассники 1,1,
24888,5041811,20200116,,0,739528754b1dfab39f8aef2413c5df0a 1
25112,1815460,20210829,сбора 1 заявок 1 форма 1 заявки 1,0,
25646,810468291,20210908,,0,88ba7efdf1892f114177a6b7aef0baa9 4 aee71c8d18d6b91b36bf599208a91777 24 c5d802e6e9482aeb70cfdb8c43a55f57 9 8cf0c68a7b804b4a3859b9f27e28f1c2 10 43ce2d9f00b72c7843a281e2e2b869f7 15 c559cff1e7d1df756cb212a22311ea3b 15
